id,name,documents_url,announcement_url,notices_url
dist-35-nicobars-coll,Nicobars District Collectorate,https://nicobars.andaman.nic.in/documents/,,
dist-35-north_and_middle_andaman-coll,North And Middle Andaman District Collectorate,https://northmiddle.andaman.nic.in/documents/,,
dist-35-south_andamans-coll,South Andamans District Collectorate,https://southandaman.nic.in/documents/,,
dist-28-alluri_sitharama_raju-coll,Alluri Sitharama Raju District Collectorate,https://allurisitharamaraju.ap.gov.in/documents/,,
dist-28-anakapalli-coll,Anakapalli District Collectorate,https://anakapalli.ap.gov.in/documents/,,
dist-28-ananthapuramu-coll,Ananthapuramu District Collectorate,https://ananthapuramu.ap.gov.in/documents/,,
dist-28-annamayya-coll,Annamayya District Collectorate,,,
dist-28-bapatla-coll,Bapatla District Collectorate,https://bapatla.ap.gov.in/documents/,,
dist-28-chittoor-coll,Chittoor District Collectorate,https://chittoor.ap.gov.in/documents/,,
dist-28-dr_br_ambedkar_konaseema-coll,Dr. B.R. Ambedkar Konaseema District Collectorate,https://konaseema.ap.gov.in/documents/,,
dist-28-east_godavari-coll,East Godavari District Collectorate,https://eastgodavari.ap.gov.in/documents/,,
dist-28-eluru-coll,Eluru District Collectorate,https://eluru.ap.gov.in/documents/,,
dist-28-guntur-coll,Guntur District Collectorate,https://guntur.ap.gov.in/documents/,,
dist-28-kakinada-coll,Kakinada District Collectorate,https://kakinada.ap.gov.in/documents/,,
dist-28-krishna-coll,Krishna District Collectorate,https://krishna.ap.gov.in/documents/,,
dist-28-kurnool-coll,Kurnool District Collectorate,https://kurnool.ap.gov.in/documents/,,
dist-28-nandyal-coll,Nandyal District Collectorate,https://nandyal.ap.gov.in/documents/,,
dist-28-ntr-coll,Ntr District Collectorate,https://ntr.ap.gov.in/documents/,,
dist-28-palnadu-coll,Palnadu District Collectorate,https://palnadu.ap.gov.in/documents/,,
dist-28-parvathipuram_manyam-coll,Parvathipuram Manyam District Collectorate,https://parvathipurammanyam.ap.gov.in/documents/,,
dist-28-prakasam-coll,Prakasam District Collectorate,https://prakasam.ap.gov.in/documents/,,
dist-28-sri_potti_sriramulu_nellore-coll,Sri Potti Sriramulu Nellore District Collectorate,https://spsnellore.ap.gov.in/documents/,,
dist-28-sri_sathya_sai-coll,Sri Sathya Sai District Collectorate,https://srisathyasai.ap.gov.in/documents/,,
dist-28-srikakulam-coll,Srikakulam District Collectorate,https://srikakulam.ap.gov.in/documents/,,
dist-28-tirupati-coll,Tirupati District Collectorate,https://tirupati.ap.gov.in/documents/,,
dist-28-visakhapatnam-coll,Visakhapatnam District Collectorate,https://visakhapatnam.ap.gov.in/documents/,,
dist-28-vizianagaram-coll,Vizianagaram District Collectorate,https://vizianagaram.ap.gov.in/documents/,,
dist-28-west_godavari-coll,West Godavari District Collectorate,https://westgodavari.ap.gov.in/documents/,,
dist-12-anjaw-coll,Anjaw District Collectorate,https://anjaw.nic.in/documents/,,
dist-12-changlang-coll,Changlang District Collectorate,https://changlang.nic.in/documents/,https://changlang.nic.in/notice_category/announcement/,https://changlang.nic.in/notice_category/notices/
dist-12-dibang_valley-coll,Dibang Valley District Collectorate,https://dibangvalley.nic.in/documents/,,
dist-12-east_kameng-coll,East Kameng District Collectorate,https://eastkameng.nic.in/documents/,,
dist-12-east_siang-coll,East Siang District Collectorate,https://eastsiang.nic.in/documents/,,
dist-12-kra_daadi-coll,Kra Daadi District Collectorate,https://kradaadi.nic.in/documents/,,
dist-12-kurung_kumey-coll,Kurung Kumey District Collectorate,https://kurungkumey.nic.in/documents/,,
dist-12-lohit-coll,Lohit District Collectorate,https://lohit.nic.in/documents/,,
dist-12-longding-coll,Longding District Collectorate,https://longding.nic.in/documents/,,
dist-12-lower_dibang_valley-coll,Lower Dibang Valley District Collectorate,https://roing.nic.in/documents/,,
dist-12-lower_siang-coll,Lower Siang District Collectorate,https://siang.nic.in/documents/,,
dist-12-lower_subansiri-coll,Lower Subansiri District Collectorate,https://lowersubansiri.nic.in/documents/,,
dist-12-namsai-coll,Namsai District Collectorate,https://namsai.nic.in/documents/,,
dist-12-papum_pare-coll,Papum Pare District Collectorate,https://papumpare.nic.in/documents/,,
dist-12-shi_yomi-coll,Shi Yomi District Collectorate,https://shiyomi.nic.in/documents/,,
dist-12-siang-coll,Siang District Collectorate,https://siang.nic.in/documents/,,
dist-12-tawang-coll,Tawang District Collectorate,https://tawang.nic.in/documents/,,
dist-12-tirap-coll,Tirap District Collectorate,https://tirap.nic.in/documents/,,
dist-12-upper_siang-coll,Upper Siang District Collectorate,https://uppersiang.nic.in/documents/,,
dist-12-upper_subansiri-coll,Upper Subansiri District Collectorate,https://uppersubansiri.nic.in/documents/,,
dist-12-west_kameng-coll,West Kameng District Collectorate,https://westkameng.nic.in/documents/,,
dist-12-west_siang-coll,West Siang District Collectorate,https://westsiang.nic.in/documents/,,
dist-18-bajali-coll,Bajali District Collectorate,,,
dist-18-baksa-coll,Baksa District Collectorate,,,
dist-18-barpeta-coll,Barpeta District Collectorate,,,
dist-18-biswanath-coll,Biswanath District Collectorate,,,
dist-18-bongaigaon-coll,Bongaigaon District Collectorate,,,
dist-18-cachar-coll,Cachar District Collectorate,,,
dist-18-charaideo-coll,Charaideo District Collectorate,,,
dist-18-chirang-coll,Chirang District Collectorate,,,
dist-18-darrang-coll,Darrang District Collectorate,,,
dist-18-dhemaji-coll,Dhemaji District Collectorate,,,
dist-18-dhubri-coll,Dhubri District Collectorate,,,
dist-18-dibrugarh-coll,Dibrugarh District Collectorate,,,
dist-18-dima_hasao-coll,Dima Hasao District Collectorate,,,
dist-18-goalpara-coll,Goalpara District Collectorate,https://goalpara.assam.gov.in/documents/,,
dist-18-golaghat-coll,Golaghat District Collectorate,,,
dist-18-hailakandi-coll,Hailakandi District Collectorate,,,
dist-18-hojai-coll,Hojai District Collectorate,,,
dist-18-jorhat-coll,Jorhat District Collectorate,,,
dist-18-kamrup-coll,Kamrup District Collectorate,,,
